,MONTH,BPS,TRENDS,DELAY0,DELAY1,DELAY2,DELAY3,DELAY4,DELAY5,DELAY6,DELAY7,DELAY8,DELAY9,DELAY10,DELAY11,DELAY12
150,7/1/2020,155742,221,341887,584647,427063,487872,994903,1282288,1878268,1423807,1367548,1288287,1592703,1546300,1474767
151,8/1/2020,161549,260,473200,341887,584647,427063,487872,994903,1282288,1878268,1423807,1367548,1288287,1592703,1546300
152,9/1/2020,148984,285,568575,473200,341887,584647,427063,487872,994903,1282288,1878268,1423807,1367548,1288287,1592703
153,10/1/2020,152293,249,434007,568575,473200,341887,584647,427063,487872,994903,1282288,1878268,1423807,1367548,1288287
154,11/1/2020,144476,247,427063,434007,568575,473200,341887,584647,427063,487872,994903,1282288,1878268,1423807,1367548
155,12/1/2020,164079,253,448063,427063,434007,568575,473200,341887,584647,427063,487872,994903,1282288,1878268,1423807
156,1/1/2021,137230,235,386575,448063,427063,434007,568575,473200,341887,584647,427063,487872,994903,1282288,1878268
157,2/1/2021,115765,306,655452,386575,448063,427063,434007,568575,473200,341887,584647,427063,487872,994903,1282288
158,3/1/2021,130933,280,548800,655452,386575,448063,427063,434007,568575,473200,341887,584647,427063,487872,994903
159,4/1/2021,125001,252,444528,548800,655452,386575,448063,427063,434007,568575,473200,341887,584647,427063,487872
160,5/1/2021,152604,209,305767,444528,548800,655452,386575,448063,427063,434007,568575,473200,341887,584647,427063
161,6/1/2021,137247,276,533232,305767,444528,548800,655452,386575,448063,427063,434007,568575,473200,341887,584647
162,7/1/2021,135438,206,297052,533232,305767,444528,548800,655452,386575,448063,427063,434007,568575,473200,341887
163,8/1/2021,124751,244,416752,297052,533232,305767,444528,548800,655452,386575,448063,427063,434007,568575,473200
164,9/1/2021,124071,279,544887,416752,297052,533232,305767,444528,548800,655452,386575,448063,427063,434007,568575
165,10/1/2021,148645,224,351232,544887,416752,297052,533232,305767,444528,548800,655452,386575,448063,427063,434007
166,11/1/2021,153199,224,351232,351232,544887,416752,297052,533232,305767,444528,548800,655452,386575,448063,427063
167,12/31/2021,163619,242,409948,351232,351232,544887,416752,297052,533232,305767,444528,548800,655452,386575,448063
